i_pid,i_id_pers,i_id_session,dt_date_utc,r_lat,r_lon,geom_2154
17341,8,0,2019-07-08 05:17:06+02,45.1847916666667,5.71696666666667,01010000206A080000C2F0DCFD85DF2B41884B2B4B43A25841
17342,8,0,2019-07-08 05:17:16+02,45.1848133333333,5.71685333333333,01010000206A08000077ADCB0874DF2B417CCA7BD143A25841
17343,8,0,2019-07-08 05:17:21+02,45.1847533333333,5.71677833333333,01010000206A080000DE2207B868DF2B4174614C1A42A25841
17344,8,0,2019-07-08 05:17:26+02,45.1847716666667,5.716845,01010000206A080000DD38650B73DF2B41D3040FA842A25841
17345,8,0,2019-07-08 05:17:31+02,45.1847683333333,5.71680666666667,01010000206A0800006E065C0D6DDF2B414E6EC08942A25841
17346,8,0,2019-07-08 05:17:36+02,45.184785,5.716735,01010000206A0800007BDB96AC61DF2B4119E8C0F342A25841
17347,8,0,2019-07-08 05:17:41+02,45.1848116666667,5.71663166666667,01010000206A080000E4FBA03F51DF2B41E914519F43A25841
17348,8,0,2019-07-08 05:17:46+02,45.1847866666667,5.71663666666667,01010000206A0800007F08783952DF2B41D94097EE42A25841
17349,8,0,2019-07-08 05:17:56+02,45.1848216666667,5.71662166666667,01010000206A080000908F2F9A4FDF2B4193B79FE443A25841
17350,8,0,2019-07-08 05:18:01+02,45.1848616666667,5.71657,01010000206A08000006008D2F47DF2B416BE5D5F744A25841
17351,8,0,2019-07-08 05:18:06+02,45.1848533333333,5.71656333333333,01010000206A080000B763ED3346DF2B415A717CBB44A25841
17352,8,0,2019-07-08 05:18:11+02,45.184855,5.71658333333333,01010000206A080000CB4E6F5449DF2B418E8AC8CA44A25841
17353,8,0,2019-07-08 05:18:16+02,45.1848283333333,5.71661666666667,01010000206A0800008D5734C44EDF2B4155E91D1344A25841
17354,8,0,2019-07-08 05:18:21+02,45.1848033333333,5.71661166666667,01010000206A080000A200292C4EDF2B418676A96043A25841
17355,8,0,2019-07-08 05:18:26+02,45.1847783333333,5.71663166666667,01010000206A080000467ED38051DF2B410D9087B242A25841
17356,8,0,2019-07-08 05:18:31+02,45.18472,5.71693,01010000206A0800006F557AC880DF2B41EF82BC4741A25841
17357,8,0,2019-07-08 05:18:36+02,45.18479,5.71699333333333,01010000206A0800003767D0308ADF2B41E7E4F04343A25841
17358,8,0,2019-07-08 05:18:41+02,45.1847466666667,5.717055,01010000206A080000D05CDE3394DF2B417A06C81A42A25841
17359,8,0,2019-07-08 05:18:46+02,45.1847366666667,5.71707333333333,01010000206A080000D00A382897DF2B41FC5FEAD641A25841
17360,8,0,2019-07-08 05:18:51+02,45.1847216666667,5.71708666666667,01010000206A0800003C92685D99DF2B4187C1AA6E41A25841
17361,8,0,2019-07-08 05:18:56+02,45.1847216666667,5.71699666666667,01010000206A0800009EA5723C8BDF2B411C8F1A5F41A25841
17362,8,0,2019-07-08 05:19:01+02,45.1847166666667,5.71704333333333,01010000206A08000058A4B09992DF2B41CBCBA74341A25841
17363,8,0,2019-07-08 05:19:06+02,45.1847783333333,5.71700666666667,01010000206A080000B44D7B5F8CDF2B41ED015FF342A25841
17364,8,0,2019-07-08 05:19:16+02,45.1848383333333,5.71695833333333,01010000206A080000F828AC5384DF2B41CBE93A9544A25841
17365,8,0,2019-07-08 05:19:21+02,45.18485,5.71698666666667,01010000206A0800009D5A85AF88DF2B41844A01ED44A25841
17366,8,0,2019-07-08 05:19:26+02,45.1848633333333,5.71692833333333,01010000206A0800003B3C1E6D7FDF2B41FE07A24145A25841
17367,8,0,2019-07-08 05:19:31+02,45.18487,5.716925,01010000206A0800008EB61DDA7EDF2B411FFA697045A25841
17368,8,0,2019-07-08 05:19:36+02,45.1848583333333,5.71702333333333,01010000206A080000FADCCA608EDF2B4171D58A2E45A25841
17369,8,0,2019-07-08 05:19:41+02,45.1848683333333,5.716995,01010000206A080000D3838FDA89DF2B41F3D1AD7045A25841
17370,8,0,2019-07-08 05:19:46+02,45.1848766666667,5.71697833333333,01010000206A0800003213742C87DF2B416166FEA845A25841
17371,8,0,2019-07-08 05:19:51+02,45.1848916666667,5.71694833333333,01010000206A0800004602765982DF2B4166415C0E46A25841
17372,8,0,2019-07-08 05:19:56+02,45.1849183333333,5.71693166666667,01010000206A08000061EA7D877FDF2B418C7AE8C846A25841
17373,8,0,2019-07-08 05:20:01+02,45.1849366666667,5.71690333333333,01010000206A08000056FEF5F07ADF2B41FFE23D4647A25841
17374,8,0,2019-07-08 05:20:06+02,45.1849466666667,5.7169,01010000206A080000C35470577ADF2B41C295B38C47A25841
17375,8,0,2019-07-08 05:20:11+02,45.1849466666667,5.71690666666667,01010000206A0800007C595C637BDF2B41C9B1DA8D47A25841
17376,8,0,2019-07-08 05:20:16+02,45.1849383333333,5.71692166666667,01010000206A0800007B767CCE7DDF2B41EF50405547A25841
17377,8,0,2019-07-08 05:20:21+02,45.1849166666667,5.71694666666667,01010000206A080000B8A793E581DF2B41D59BA9BF46A25841
17378,8,0,2019-07-08 05:20:26+02,45.1849183333333,5.716955,01010000206A0800000819383183DF2B41AD60F1CC46A25841
17379,8,0,2019-07-08 05:20:31+02,45.18492,5.717,01010000206A080000C4CD6E3E8ADF2B41264C90E046A25841
17380,8,0,2019-07-08 05:20:36+02,45.1849183333333,5.71697833333333,01010000206A0800000E47F2DA86DF2B411349FAD046A25841
17381,8,0,2019-07-08 05:20:41+02,45.184955,5.716855,01010000206A080000303BAA3673DF2B411CFE1DC047A25841
17382,8,0,2019-07-08 05:20:46+02,45.1849933333333,5.716735,01010000206A080000CA35171560DF2B410C60ACBB48A25841
17383,8,0,2019-07-08 05:20:51+02,45.1849983333333,5.71676,01010000206A080000296304F863DF2B412B9983E348A25841
17384,8,0,2019-07-08 05:20:56+02,45.1849916666667,5.71677,01010000206A0800000399F09665DF2B41B2BCE2B548A25841
17385,8,0,2019-07-08 05:21:01+02,45.185,5.71677166666667,01010000206A08000054BF9EC965DF2B4194E35EF148A25841
17386,8,0,2019-07-08 05:21:06+02,45.18501,5.71675833333333,01010000206A0800008172379E63DF2B4154F4193649A25841
17387,8,0,2019-07-08 05:21:11+02,45.18501,5.7168,01010000206A0800008519BA286ADF2B41684D4E3D49A25841
17388,8,0,2019-07-08 05:21:16+02,45.1850133333333,5.71688166666667,01010000206A080000FE303FF476DF2B41B00E1B6349A25841
17389,8,0,2019-07-08 05:21:21+02,45.185045,5.716845,01010000206A080000564EBCF470DF2B41999DB63D4AA25841
17390,8,0,2019-07-08 05:21:26+02,45.185075,5.71682,01010000206A080000EC2E59CD6CDF2B41C6BE7F0E4BA25841
17391,8,0,2019-07-08 05:21:31+02,45.1850883333333,5.716835,01010000206A080000272C170E6FDF2B41B1B9CE6F4BA25841
17392,8,0,2019-07-08 05:21:36+02,45.18512,5.71682166666667,01010000206A0800004A634EB86CDF2B418F28734E4CA25841
17393,8,0,2019-07-08 05:21:41+02,45.1851466666667,5.71680166666667,01010000206A080000A5B8616069DF2B41D8DE6B084DA25841
17394,8,0,2019-07-08 05:21:46+02,45.185125,5.71682333333333,01010000206A080000489681F16CDF2B41508F41724CA25841
17395,8,0,2019-07-08 05:21:51+02,45.1851216666667,5.71684166666667,01010000206A0800009638CFD86FDF2B411556BF5D4CA25841
17396,8,0,2019-07-08 05:21:56+02,45.1850766666667,5.71687333333333,01010000206A080000E07B752975DF2B411E718F234BA25841
17397,8,0,2019-07-08 05:22:01+02,45.18503,5.71693333333333,01010000206A080000B18409F07EDF2B411FE96EE249A25841
17398,8,0,2019-07-08 05:22:06+02,45.1849883333333,5.71696333333333,01010000206A08000005D130F783DF2B41090AA3BF48A25841
17399,8,0,2019-07-08 05:22:11+02,45.1849866666667,5.71698666666667,01010000206A08000034542DA487DF2B41D312D5B748A25841
17400,8,0,2019-07-08 05:22:16+02,45.1849533333333,5.71699833333333,01010000206A080000F5073FBA89DF2B41590610CD47A25841
17401,8,0,2019-07-08 05:22:21+02,45.185025,5.717035,01010000206A0800005F269FEF8EDF2B41EBD47ED049A25841
17402,8,0,2019-07-08 05:22:31+02,45.1849933333333,5.71692666666667,01010000206A080000BE27D72B7EDF2B41258AD0DC48A25841
17403,8,0,2019-07-08 05:22:41+02,45.18497,5.71679166666667,01010000206A08000091F5102869DF2B41806AB81F48A25841
17404,8,0,2019-07-08 05:23:06+02,45.1847916666667,5.71714333333333,01010000206A080000CC5AD0B9A1DF2B419627B86943A25841
17405,8,0,2019-07-08 05:23:11+02,45.1848566666667,5.71705333333333,01010000206A0800004012B41993DF2B41E704E42745A25841
17406,8,0,2019-07-08 05:23:16+02,45.18523,5.71672833333333,01010000206A080000D26B403A5DDF2B41E19EB54B4FA25841
17407,8,0,2019-07-08 05:23:21+02,45.1852416666667,5.71667,01010000206A080000C27D20FB53DF2B41B3BF7F944FA25841
17408,8,0,2019-07-08 05:23:26+02,45.1852566666667,5.71660333333333,01010000206A0800004433956649DF2B4113D786F34FA25841
17409,8,0,2019-07-08 05:23:31+02,45.1852516666667,5.71655,01010000206A0800007E85FF1041DF2B4144A2C9C64FA25841
17410,8,0,2019-07-08 05:23:36+02,45.185245,5.71657833333333,01010000206A0800003C16B39045DF2B41D72E549C4FA25841
17411,8,0,2019-07-08 05:23:41+02,45.18522,5.71657666666667,01010000206A08000081CC9D7E45DF2B416B4773EA4EA25841
17412,8,0,2019-07-08 05:23:46+02,45.1852383333333,5.71659166666667,01010000206A0800005C7694B547DF2B41B0D3466F4FA25841
17413,8,0,2019-07-08 05:23:51+02,45.18522,5.71657,01010000206A080000331BB27244DF2B41EE344CE94EA25841
17414,8,0,2019-07-08 05:23:56+02,45.1852433333333,5.71652,01010000206A080000B587A76B3CDF2B410D7367864FA25841
17415,8,0,2019-07-08 05:24:01+02,45.1852683333333,5.71648666666667,01010000206A080000B6FC27FF36DF2B41AC433B3250A25841
17416,8,0,2019-07-08 05:24:06+02,45.1852816666667,5.71648,01010000206A080000538528D935DF2B417135CB8F50A25841
17417,8,0,2019-07-08 05:24:11+02,45.18527,5.71655666666667,01010000206A08000060A60FF941DF2B4138562C4A50A25841
17418,8,0,2019-07-08 05:24:16+02,45.1853216666667,5.71654666666667,01010000206A0800008DB9200240DF2B4135E176B751A25841
17419,8,0,2019-07-08 05:24:31+02,45.1852233333333,5.71671,01010000206A080000948282665ADF2B415CA02E194FA25841
17420,8,0,2019-07-08 05:24:36+02,45.18512,5.71682166666667,01010000206A0800004A634EB86CDF2B418F28734E4CA25841
17421,8,0,2019-07-08 05:24:41+02,45.1851433333333,5.71683166666667,01010000206A0800005AE28B1C6EDF2B41AF10EEF54CA25841
17422,8,0,2019-07-08 05:24:46+02,45.1851066666667,5.71692666666667,01010000206A0800005D44254E7DDF2B41DB10E4014CA25841
17423,8,0,2019-07-08 05:24:51+02,45.1850483333333,5.71688166666667,01010000206A080000A18BC8AF76DF2B412471BB5B4AA25841
17424,8,0,2019-07-08 05:24:56+02,45.1848183333333,5.71711166666667,01010000206A080000F8A0038D9CDF2B411E45AC2144A25841
